,Source,Referal,Medium,Date,Sessions,ProductID,Product,Supplier,OrgId
0,(direct),(none),desktop,2022-11-25,1,293,Bestandsbaudokumentation,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
1,(direct),(none),mobile,2023-05-09,1,288,Aspekte der Projektkoordinaton,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
0,(direct),(none),desktop,2022-11-25,1,288,Aspekte der Projektkoordinaton,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
0,(direct),(none),desktop,2022-11-25,1,292,Auftraggeber-Informations-Anforderungen Geometrie Regelwerke,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
1,jira.adesso.de,referral,desktop,2023-02-23,1,290,Bauphysik - Potential energetischer Gebäudesimulationen,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
0,(direct),(none),desktop,2022-11-25,2,290,Bauphysik - Potential energetischer Gebäudesimulationen,Mittelstand 4.0-Kompetenzzentrum Planen und Bauen,247
0,bimswarm.de,referral,mobile,2022-09-19,1,283,localexpert24,Berthold Becker Büro für Ingenieur- und Tiefbau GmbH,242
0,(direct),(none),desktop,2022-12-15,2,251,Dalux Box,Dalux Germany GmbH,229
0,bimswarm.de,referral,desktop,2023-01-10,1,254,Dalux FM,Dalux Germany GmbH,229
3,(direct),(none),desktop,2023-03-29,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
5,5lcue.r.a.d.sendibm1.com,referral,desktop,2023-03-17,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
0,google,organic,desktop,2023-03-16,2,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
8,startconsult.everythink.co,referral,desktop,2023-01-31,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
4,5lcue.r.a.d.sendibm1.com,referral,desktop,2023-01-02,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
7,5lcue.r.bh.d.sendibt3.com,referral,desktop,2022-12-22,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
6,5lcue.r.bh.d.sendibt3.com,referral,desktop,2022-12-20,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
2,(direct),(none),desktop,2022-12-14,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
1,(direct),(none),desktop,2022-09-27,1,205,Geotechnische Software GEO5,GEO5 Software GmbH,199
0,bimswarm.de,referral,desktop,2023-06-06,3,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
9,google,organic,desktop,2023-04-28,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
5,bimswarm.de,referral,desktop,2023-04-06,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
8,google,organic,desktop,2023-03-20,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
2,(direct),(none),desktop,2023-01-03,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
4,bimswarm.de,referral,desktop,2022-12-06,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
1,bimswarm.de,referral,desktop,2022-11-30,2,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
7,google,organic,desktop,2022-11-16,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
3,bimswarm.de,referral,desktop,2022-10-24,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
6,google,organic,desktop,2022-10-24,1,12,Kamioni – Digitale Bautransporte,Kamioni GmbH,8
1,bimswarm.de,referral,mobile,2023-06-13,1,256,ADDISON Handwerk,ADDISON Handwerk,230
0,(direct),(none),desktop,2022-11-09,1,256,ADDISON Handwerk,ADDISON Handwerk,230
0,bimswarm.de,referral,desktop,2023-04-03,1,287,LCM Digital,LCM Digital,246
0,bimswarm.de,referral,desktop,2022-10-19,1,291,PropTech Search,Kompetenzzentrum DigiWoh e.V.,249
0,bimswarm.de,referral,desktop,2023-03-21,2,295,VDI 2552 Blatt 1,VDI – Verein Deutscher Ingenieure e.V.,252
2,bimswarm.de,referral,desktop,2023-02-23,1,295,VDI 2552 Blatt 1,VDI – Verein Deutscher Ingenieure e.V.,252
1,bimswarm.de,referral,desktop,2023-02-05,1,295,VDI 2552 Blatt 1,VDI – Verein Deutscher Ingenieure e.V.,252
11,google,organic,desktop,2023-03-20,1,167,RIB iTWO,RIB Software SE,17
10,google,organic,desktop,2023-03-09,1,167,RIB iTWO,RIB Software SE,17
9,google,organic,desktop,2023-03-08,1,167,RIB iTWO,RIB Software SE,17
8,google,organic,desktop,2023-01-06,1,167,RIB iTWO,RIB Software SE,17
0,google,organic,desktop,2022-11-29,2,167,RIB iTWO,RIB Software SE,17
7,google,organic,desktop,2022-11-22,1,167,RIB iTWO,RIB Software SE,17
1,(direct),(none),desktop,2022-10-29,1,167,RIB iTWO,RIB Software SE,17
6,google,organic,desktop,2022-10-24,1,167,RIB iTWO,RIB Software SE,17
5,google,organic,desktop,2022-10-13,1,167,RIB iTWO,RIB Software SE,17
4,google,organic,desktop,2022-10-07,1,167,RIB iTWO,RIB Software SE,17
3,google,organic,desktop,2022-09-23,1,167,RIB iTWO,RIB Software SE,17
2,google,organic,desktop,2022-09-20,1,167,RIB iTWO,RIB Software SE,17
1,bimswarm.de,referral,desktop,2023-03-21,2,29,RIB iTWO 4.0,RIB Software SE,17
6,bimswarm.de,referral,desktop,2023-02-23,1,29,RIB iTWO 4.0,RIB Software SE,17
7,jira.adesso.de,referral,desktop,2023-02-23,1,29,RIB iTWO 4.0,RIB Software SE,17
5,bimswarm.de,referral,desktop,2023-02-05,1,29,RIB iTWO 4.0,RIB Software SE,17
3,(direct),(none),desktop,2022-12-01,1,29,RIB iTWO 4.0,RIB Software SE,17
2,(direct),(none),desktop,2022-11-29,1,29,RIB iTWO 4.0,RIB Software SE,17
0,(direct),(none),desktop,2022-11-25,2,29,RIB iTWO 4.0,RIB Software SE,17
4,bimswarm.de,referral,desktop,2022-10-19,1,29,RIB iTWO 4.0,RIB Software SE,17
1,(direct),(none),desktop,2023-03-30,1,314,Betonfertigteile – Handbuch Informationslieferungen (IDM),buildingSMART Deutschland,233
0,(direct),(none),desktop,2023-03-28,1,314,Betonfertigteile – Handbuch Informationslieferungen (IDM),buildingSMART Deutschland,233
2,jira.adesso.de,referral,desktop,2023-03-21,1,314,Betonfertigteile – Handbuch Informationslieferungen (IDM),buildingSMART Deutschland,233
2,bimswarm.de,referral,desktop,2022-12-15,1,204,Allplan Bimplus,Allplan GmbH,198
1,(direct),(none),desktop,2022-12-11,1,204,Allplan Bimplus,Allplan GmbH,198
0,bimswarm.de,referral,desktop,2022-11-23,3,204,Allplan Bimplus,Allplan GmbH,198
1,(direct),(none),desktop,2023-05-16,2,203,Allplan ,Allplan GmbH,198
5,(direct),(none),desktop,2023-03-20,1,203,Allplan ,Allplan GmbH,198
4,(direct),(none),desktop,2023-03-16,1,203,Allplan ,Allplan GmbH,198
8,bimswarm.de,referral,desktop,2023-03-14,1,203,Allplan ,Allplan GmbH,198
7,bimswarm.de,referral,desktop,2023-02-20,1,203,Allplan ,Allplan GmbH,198
0,(direct),(none),desktop,2022-12-19,2,203,Allplan ,Allplan GmbH,198
3,bimswarm.de,referral,desktop,2022-11-29,2,203,Allplan ,Allplan GmbH,198
2,bimswarm.de,referral,desktop,2022-11-24,2,203,Allplan ,Allplan GmbH,198
6,bimswarm.de,referral,desktop,2022-11-23,1,203,Allplan ,Allplan GmbH,198
9,bimswarm.de,referral,mobile,2022-10-24,1,203,Allplan ,Allplan GmbH,198
1,bimswarm.de,referral,desktop,2022-09-30,1,65,BKI Kostenplaner 2021,BKI GmbH,47
0,bimswarm.de,referral,desktop,2022-09-29,1,65,BKI Kostenplaner 2021,BKI GmbH,47
1,google,organic,desktop,2023-04-26,1,5,DBD-BIM,Dr. Schiller & Partner GmbH – Dynamische BauDaten –,5
0,google,organic,desktop,2022-11-09,2,5,DBD-BIM,Dr. Schiller & Partner GmbH – Dynamische BauDaten –,5
2,bimswarm.de,referral,desktop,2022-09-30,1,6,DBD-Connect,Dr. Schiller & Partner GmbH – Dynamische BauDaten –,5
1,bimswarm.de,referral,desktop,2022-09-29,1,6,DBD-Connect,Dr. Schiller & Partner GmbH – Dynamische BauDaten –,5
0,bimswarm.de,referral,desktop,2022-09-19,1,6,DBD-Connect,Dr. Schiller & Partner GmbH – Dynamische BauDaten –,5
0,neu.bimswarm.de,referral,desktop,2023-04-18,2,308,GAMMA AR,GAMMA Technologies SARL,254
4,(direct),(none),desktop,2023-04-03,1,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
5,bimswarm.de,referral,desktop,2022-11-23,1,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
0,(direct),(none),desktop,2022-11-07,2,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
3,(direct),(none),desktop,2022-11-01,1,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
2,(direct),(none),desktop,2022-09-27,1,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
1,(direct),(none),desktop,2022-09-21,1,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
6,google,organic,desktop,2022-09-21,1,154,3D Laserscanning - Beratung und Dienstleistungen,Scan3D Dienstleistungsgesellschaft mbh,131
0,(direct),(none),desktop,2022-11-25,1,264,BIM-Qualifizierungsleitfaden NRW,MHKBG des Landes Nordrhein-Westfalen,234
1,(direct),(none),desktop,2022-12-01,1,294,BIM-Handlungsempfehlung für kommunale Bauverwaltungen in NRW,MHKBG des Landes Nordrhein-Westfalen,234
0,(direct),(none),desktop,2022-11-29,1,294,BIM-Handlungsempfehlung für kommunale Bauverwaltungen in NRW,MHKBG des Landes Nordrhein-Westfalen,234
4,google,organic,desktop,2023-04-08,1,210,ABiSPlan 3D,ABIS Softwareentwicklungs GesmbH,202
0,(direct),(none),desktop,2023-02-15,3,210,ABiSPlan 3D,ABIS Softwareentwicklungs GesmbH,202
1,(direct),(none),desktop,2022-10-13,1,210,ABiSPlan 3D,ABIS Softwareentwicklungs GesmbH,202
3,bimswarm.de,referral,desktop,2022-09-22,1,210,ABiSPlan 3D,ABIS Softwareentwicklungs GesmbH,202
2,bimswarm.de,referral,desktop,2022-09-21,1,210,ABiSPlan 3D,ABIS Softwareentwicklungs GesmbH,202
5,bimswarm.de,referral,desktop,2022-12-27,1,230,BIMcollab Cloud,BIMcollab,203
4,bimswarm.de,referral,desktop,2022-12-26,1,230,BIMcollab Cloud,BIMcollab,203
3,bimswarm.de,referral,desktop,2022-12-21,1,230,BIMcollab Cloud,BIMcollab,203
2,bimswarm.de,referral,desktop,2022-12-17,1,230,BIMcollab Cloud,BIMcollab,203
0,bimswarm.de,referral,desktop,2022-12-01,3,230,BIMcollab Cloud,BIMcollab,203
1,(direct),(none),desktop,2022-12-01,1,230,BIMcollab Cloud,BIMcollab,203
27,neu.bimswarm.de,referral,desktop,2023-04-25,1,195,ORCA AVA,ORCA Software GmbH,41
9,neu.bimswarm.de,referral,desktop,2023-04-24,2,195,ORCA AVA,ORCA Software GmbH,41
26,neu.bimswarm.de,referral,desktop,2023-04-20,1,195,ORCA AVA,ORCA Software GmbH,41
25,neu.bimswarm.de,referral,desktop,2023-04-19,1,195,ORCA AVA,ORCA Software GmbH,41
24,neu.bimswarm.de,referral,desktop,2023-04-18,1,195,ORCA AVA,ORCA Software GmbH,41
23,neu.bimswarm.de,referral,desktop,2023-04-13,1,195,ORCA AVA,ORCA Software GmbH,41
22,neu.bimswarm.de,referral,desktop,2023-04-12,1,195,ORCA AVA,ORCA Software GmbH,41
8,neu.bimswarm.de,referral,desktop,2023-04-11,2,195,ORCA AVA,ORCA Software GmbH,41
1,neu.bimswarm.de,referral,desktop,2023-04-06,3,195,ORCA AVA,ORCA Software GmbH,41
21,google,organic,desktop,2023-02-27,1,195,ORCA AVA,ORCA Software GmbH,41
7,bimswarm.de,referral,desktop,2023-02-14,2,195,ORCA AVA,ORCA Software GmbH,41
6,bimswarm.de,referral,desktop,2023-02-09,2,195,ORCA AVA,ORCA Software GmbH,41
19,bimswarm.de,referral,desktop,2023-01-27,1,195,ORCA AVA,ORCA Software GmbH,41
5,bimswarm.de,referral,desktop,2023-01-26,2,195,ORCA AVA,ORCA Software GmbH,41
18,bimswarm.de,referral,desktop,2023-01-18,1,195,ORCA AVA,ORCA Software GmbH,41
17,bimswarm.de,referral,desktop,2022-12-15,1,195,ORCA AVA,ORCA Software GmbH,41
16,bimswarm.de,referral,desktop,2022-12-12,1,195,ORCA AVA,ORCA Software GmbH,41
0,bimswarm.de,referral,desktop,2022-12-06,3,195,ORCA AVA,ORCA Software GmbH,41
15,bimswarm.de,referral,desktop,2022-11-30,1,195,ORCA AVA,ORCA Software GmbH,41
14,bimswarm.de,referral,desktop,2022-11-16,1,195,ORCA AVA,ORCA Software GmbH,41
4,bimswarm.de,referral,desktop,2022-11-15,2,195,ORCA AVA,ORCA Software GmbH,41
13,bimswarm.de,referral,desktop,2022-11-10,1,195,ORCA AVA,ORCA Software GmbH,41
3,bimswarm.de,referral,desktop,2022-10-25,2,195,ORCA AVA,ORCA Software GmbH,41
12,bimswarm.de,referral,desktop,2022-10-24,1,195,ORCA AVA,ORCA Software GmbH,41
2,bimswarm.de,referral,desktop,2022-10-14,2,195,ORCA AVA,ORCA Software GmbH,41
11,bimswarm.de,referral,desktop,2022-10-11,1,195,ORCA AVA,ORCA Software GmbH,41
10,bimswarm.de,referral,desktop,2022-10-10,1,195,ORCA AVA,ORCA Software GmbH,41
20,google,organic,desktop,2022-09-22,1,195,ORCA AVA,ORCA Software GmbH,41
0,google,organic,desktop,2022-11-18,1,207,BauButler,ambigus GmbH,200
1,(direct),(none),mobile,2022-11-10,1,237,[überbau],Metis Systems AG,220
0,(direct),(none),desktop,2022-11-08,2,237,[überbau],Metis Systems AG,220
0,google,organic,desktop,2022-11-09,2,54,MWM-Libero,MWM Software & Beratung GmbH,38
0,bimswarm.de,referral,desktop,2022-10-05,1,91,ARES Trinity of CAD Software,Gräbert GmbH,71
2,(direct),(none),desktop,2023-05-23,2,220,SPECTER,SPECTER Automation,211
6,bimswarm.de,referral,desktop,2023-05-23,1,220,SPECTER,SPECTER Automation,211
5,(direct),(none),desktop,2022-11-15,1,220,SPECTER,SPECTER Automation,211
0,(direct),(none),desktop,2022-11-04,3,220,SPECTER,SPECTER Automation,211
4,(direct),(none),desktop,2022-10-04,1,220,SPECTER,SPECTER Automation,211
1,bimswarm.de,referral,desktop,2022-09-27,3,220,SPECTER,SPECTER Automation,211
3,(direct),(none),desktop,2022-09-21,1,220,SPECTER,SPECTER Automation,211
1,(direct),(none),desktop,2023-03-01,1,171,CAFM-Software FAMOS und FAMOSweb,Keßler Real Estate Solutions GmbH,168
0,(direct),(none),desktop,2023-02-21,1,171,CAFM-Software FAMOS und FAMOSweb,Keßler Real Estate Solutions GmbH,168
0,(direct),(none),desktop,2022-12-06,2,221,BIMsystems ,BIMsystems GmbH,210
1,bimswarm.de,referral,desktop,2023-05-24,2,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
2,(direct),(none),desktop,2023-02-20,1,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
6,bimswarm.de,referral,desktop,2022-11-28,1,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
5,bimswarm.de,referral,desktop,2022-11-15,1,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
0,(direct),(none),desktop,2022-11-09,2,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
4,bimswarm.de,referral,desktop,2022-09-20,1,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
3,bimswarm.de,referral,desktop,2022-09-19,1,233,Autodesk Revit (AEC Collection) ,Artaker CAD Systems,217
29,neu.bimswarm.de,referral,desktop,2023-04-25,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
9,neu.bimswarm.de,referral,desktop,2023-04-24,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
28,neu.bimswarm.de,referral,desktop,2023-04-20,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
27,neu.bimswarm.de,referral,desktop,2023-04-19,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
26,neu.bimswarm.de,referral,desktop,2023-04-18,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
25,neu.bimswarm.de,referral,desktop,2023-04-13,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
24,neu.bimswarm.de,referral,desktop,2023-04-12,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
8,neu.bimswarm.de,referral,desktop,2023-04-11,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
1,neu.bimswarm.de,referral,desktop,2023-04-06,3,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
23,google,organic,desktop,2023-02-27,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
11,(direct),(none),desktop,2023-02-21,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
7,bimswarm.de,referral,desktop,2023-02-14,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
6,bimswarm.de,referral,desktop,2023-02-09,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
21,bimswarm.de,referral,desktop,2023-01-27,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
5,bimswarm.de,referral,desktop,2023-01-26,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
20,bimswarm.de,referral,desktop,2023-01-18,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
19,bimswarm.de,referral,desktop,2022-12-15,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
18,bimswarm.de,referral,desktop,2022-12-12,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
0,bimswarm.de,referral,desktop,2022-12-06,3,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
17,bimswarm.de,referral,desktop,2022-11-30,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
10,(direct),(none),desktop,2022-11-29,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
16,bimswarm.de,referral,desktop,2022-11-16,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
4,bimswarm.de,referral,desktop,2022-11-15,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
15,bimswarm.de,referral,desktop,2022-11-10,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
3,bimswarm.de,referral,desktop,2022-10-25,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
14,bimswarm.de,referral,desktop,2022-10-24,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
2,bimswarm.de,referral,desktop,2022-10-14,2,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
13,bimswarm.de,referral,desktop,2022-10-11,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
12,bimswarm.de,referral,desktop,2022-10-10,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
22,google,organic,desktop,2022-09-22,1,19,Mensch und Maschine BIM Booster,Mensch und Maschine Deutschland GmbH,13
0,bimswarm.de,referral,desktop,2023-03-28,1,277,BIM-Leitfaden für den Mittelstand,"Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)",237
1,linkedin.com,referral,desktop,2023-01-28,1,277,BIM-Leitfaden für den Mittelstand,"Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)",237
0,neu.bimswarm.de,referral,desktop,2023-04-24,2,323,ÖKOBAUDAT,"Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)",237
1,(direct),(none),desktop,2023-02-21,1,198,California.pro,G&W Software AG,189
0,(direct),(none),desktop,2022-11-29,1,198,California.pro,G&W Software AG,189
0,(direct),(none),desktop,2023-06-09,4,241,Planersoftware 3.0 ,GEALAN Fenster-Systeme GmbH,223
1,(direct),(none),desktop,2023-06-08,2,241,Planersoftware 3.0 ,GEALAN Fenster-Systeme GmbH,223
0,bimswarm.de,referral,mobile,2022-11-07,1,250,BECHMANN AVA,BECHMANN GmbH,228
0,bimswarm.de,referral,desktop,2022-10-17,2,242,buildagil,B3 digital AG,224
1,bimswarm.de,referral,desktop,2022-10-16,1,242,buildagil,B3 digital AG,224
0,google,organic,desktop,2022-09-30,1,267,Steckbriefe der Anwendungsfälle,BIM Deutschland,236
2,bimswarm.de,referral,desktop,2022-10-28,1,269,Datenmanagement,BIM Deutschland,236
1,bimswarm.de,referral,desktop,2022-10-27,1,269,Datenmanagement,BIM Deutschland,236
0,bimswarm.de,referral,desktop,2022-10-26,1,269,Datenmanagement,BIM Deutschland,236
0,(direct),(none),mobile,2022-11-12,1,272,Auftraggeber-Informationsanforderungen (AIA),BIM Deutschland,236
0,bimswarm.de,referral,desktop,2022-09-28,1,268,BIM-Abwicklungsplan (BAP),BIM Deutschland,236
61,digital-bau.com,referral,desktop,2023-06-08,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
6,bimswarm.de,referral,desktop,2023-06-06,3,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
74,google,organic,desktop,2023-04-28,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
81,neu.bimswarm.de,referral,desktop,2023-04-25,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
24,neu.bimswarm.de,referral,desktop,2023-04-24,2,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
80,neu.bimswarm.de,referral,desktop,2023-04-20,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
79,neu.bimswarm.de,referral,desktop,2023-04-19,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
60,bimswarm.de,referral,mobile,2023-04-19,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
78,neu.bimswarm.de,referral,desktop,2023-04-18,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
77,neu.bimswarm.de,referral,desktop,2023-04-13,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
76,neu.bimswarm.de,referral,desktop,2023-04-12,1,1,Craftnote - die Handwerker App,myCraftnote Digital GmbH,3
